step,north_queue,south_queue,east_queue,west_queue,ns_pressure,ew_pressure,current_direction,phase
0,0,0,0,0,0,0,NS,0
1,0,0,0,0,0,0,NS,0
2,0,0,0,0,0,0,NS,0
3,0,0,0,0,0,0,NS,0
4,0,0,0,0,0,0,NS,0
5,0,0,0,0,0,0,NS,0
6,0,0,0,0,0,0,NS,0
7,0,0,0,0,0,0,NS,0
8,0,0,0,0,0,0,NS,0
9,0,0,0,0,0,0,NS,0
10,0,0,0,1,0,1,NS,0
11,0,0,1,1,0,2,NS,0
12,0,0,1,2,0,3,NS,0
13,0,0,1,1,0,2,NS,0
14,0,0,1,1,0,2,NS,0
15,0,0,2,1,0,3,NS,1
16,0,0,0,0,0,0,EW,2
17,0,1,0,0,1,0,EW,2
18,0,1,0,0,1,0,EW,2
19,1,1,0,0,2,0,EW,2
20,1,1,0,0,2,0,EW,2
21,1,1,0,0,2,0,EW,2
22,1,1,0,0,2,0,EW,2
23,1,1,0,0,2,0,EW,2
24,1,2,0,0,3,0,EW,2
25,2,2,0,0,4,0,EW,2
26,2,2,0,0,4,0,EW,2
27,2,2,0,0,4,0,EW,2
28,2,2,0,0,4,0,EW,2
29,2,2,0,0,4,0,EW,2
30,2,2,0,0,4,0,EW,2
31,2,2,0,0,4,0,NS,0
32,1,1,1,0,2,1,NS,0
33,0,0,1,0,0,1,NS,0
34,0,0,1,0,0,1,NS,0
35,0,0,1,0,0,1,NS,0
36,0,0,1,0,0,1,NS,0
37,0,0,1,0,0,1,NS,0
38,0,0,2,0,0,2,NS,0
39,0,0,1,0,0,1,NS,0
40,0,0,1,1,0,2,NS,0
41,0,0,1,1,0,2,NS,0
42,0,0,1,2,0,3,NS,0
43,0,0,1,1,0,2,NS,0
44,0,0,1,1,0,2,NS,0
45,0,0,1,1,0,2,NS,0
46,0,0,0,0,0,0,EW,2
47,0,0,0,0,0,0,EW,2
48,0,0,0,0,0,0,EW,2
49,0,0,0,0,0,0,EW,2
50,1,1,0,0,2,0,EW,2
51,1,1,0,0,2,0,EW,2
52,1,1,0,0,2,0,EW,2
53,1,1,0,0,2,0,EW,2
54,1,1,0,0,2,0,EW,2
55,2,1,0,0,3,0,EW,2
56,2,1,0,0,3,0,EW,2
57,2,1,0,0,3,0,EW,2
58,2,1,0,0,3,0,EW,2
59,2,2,0,0,4,0,EW,2
60,3,2,0,0,5,0,EW,2
61,2,1,0,0,3,0,NS,0
62,1,0,0,0,1,0,NS,0
63,0,0,0,0,0,0,NS,0
64,0,0,0,0,0,0,NS,0
65,0,0,0,0,0,0,NS,0
66,0,0,0,0,0,0,NS,0
67,0,0,0,0,0,0,NS,0
68,0,0,0,0,0,0,NS,0
69,0,0,0,0,0,0,NS,0
70,0,0,1,1,0,2,NS,0
71,0,0,1,1,0,2,NS,0
72,0,0,1,2,0,3,NS,0
73,0,0,1,1,0,2,NS,0
74,0,0,1,1,0,2,NS,0
75,0,0,2,1,0,3,NS,0
76,0,0,0,0,0,0,EW,2
77,0,0,0,0,0,0,EW,2
78,0,0,0,0,0,0,EW,2
79,1,0,0,0,1,0,EW,2
