Time,Direction,car,motorbike,bus,truck
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
11:23:43,DOWN,0,0,0,0
11:23:43,RIGHT,0,0,0,0
11:23:43,LEFT,0,0,0,0
11:23:43,UP,0,0,0,0
