controller,vehicle_id,duration,waiting_time,time_loss,route_length,arrival
Fixed,flow_ns.0,15.0,0.0,0.67,194.9,15.0
Fixed,flow_sn.0,16.0,0.0,0.96,194.9,16.0
Fixed,flow_ns.1,15.0,0.0,0.82,194.9,21.0
Fixed,flow_sn.1,18.0,0.0,0.96,194.9,26.0
Fixed,flow_ns.2,15.0,0.0,0.68,194.9,27.0
Fixed,flow_ns.3,15.0,0.0,0.78,194.9,33.0
Fixed,flow_sn.2,18.0,0.0,1.12,194.9,34.0
Fixed,flow_ns.4,15.0,0.0,0.7,194.9,39.0
Fixed,flow_sn.3,15.0,0.0,0.9,194.9,39.0
Fixed,flow_ns.5,16.0,0.0,0.79,194.9,46.0
Fixed,flow_sn.4,18.0,0.0,1.08,194.9,50.0
Fixed,flow_ew.0,55.0,34.0,40.61,194.9,55.0
Fixed,flow_we.0,56.0,35.0,41.23,194.9,56.0
Fixed,flow_ew.1,42.0,19.0,26.75,194.9,57.0
Fixed,flow_we.1,46.0,22.0,30.02,194.9,58.0
Fixed,flow_ew.2,30.0,6.0,15.4,194.9,59.0
Fixed,flow_we.2,36.0,11.0,21.48,194.9,60.0
Fixed,flow_we.3,26.0,1.0,10.71,194.9,62.0
Fixed,flow_ew.3,18.0,0.0,3.91,194.9,62.0
Fixed,flow_we.4,20.0,0.0,2.66,194.9,68.0
Fixed,flow_ew.4,16.0,0.0,0.86,194.9,74.0
Fixed,flow_we.5,16.0,0.0,0.51,194.9,76.0
Fixed,flow_ew.5,15.0,0.0,0.52,194.9,87.0
Fixed,flow_we.6,15.0,0.0,0.72,194.9,87.0
Fixed,flow_ns.6,65.0,42.0,49.78,194.9,101.0
Fixed,flow_sn.5,61.0,39.0,46.23,194.9,101.0
Fixed,flow_ns.7,61.0,39.0,46.41,194.9,103.0
Fixed,flow_sn.6,55.0,30.0,38.99,194.9,103.0
Fixed,flow_ns.8,57.0,35.0,42.25,194.9,105.0
Fixed,flow_sn.7,49.0,26.0,33.31,194.9,105.0
Fixed,flow_sn.8,43.0,17.0,28.23,194.9,107.0
Fixed,flow_ns.9,54.0,28.0,37.19,194.9,108.0
Fixed,flow_sn.9,36.0,11.0,21.95,194.9,108.0
Fixed,flow_ns.10,49.0,25.0,34.93,194.9,109.0
Fixed,flow_sn.10,30.0,5.0,15.7,194.9,110.0
Fixed,flow_ns.11,45.0,20.0,30.72,194.9,111.0
Fixed,flow_sn.11,24.0,0.0,8.93,194.9,112.0
Fixed,flow_ns.12,41.0,14.0,26.46,194.9,113.0
Fixed,flow_sn.12,18.0,0.0,3.32,194.9,114.0
Fixed,flow_ns.13,37.0,11.0,21.85,194.9,115.0
Fixed,flow_ns.14,33.0,5.0,18.06,194.9,117.0
Fixed,flow_ns.15,28.0,2.0,13.79,194.9,118.0
Fixed,flow_ns.16,24.0,0.0,9.58,194.9,120.0
Fixed,flow_sn.13,17.0,0.0,0.99,194.9,121.0
Fixed,flow_ns.17,21.0,0.0,4.59,194.9,123.0
Fixed,flow_ns.18,18.0,0.0,0.99,194.9,126.0
Fixed,flow_sn.14,15.0,0.0,0.58,194.9,127.0
Fixed,flow_ns.19,15.0,0.0,0.6,194.9,129.0
Fixed,flow_ns.20,15.0,0.0,0.73,194.9,135.0
Fixed,flow_sn.15,15.0,0.0,0.7,194.9,135.0
Fixed,flow_ew.6,58.0,38.0,43.79,194.9,145.0
Fixed,flow_we.7,62.0,41.0,45.84,194.9,146.0
Fixed,flow_ew.7,46.0,22.0,31.81,194.9,147.0
Fixed,flow_we.8,52.0,29.0,37.16,194.9,148.0
Fixed,flow_ew.8,33.0,8.0,18.71,194.9,149.0
Fixed,flow_we.9,42.0,18.0,25.44,194.9,150.0
Fixed,flow_ew.9,21.0,0.0,6.45,194.9,151.0
Fixed,flow_we.10,32.0,6.0,15.95,194.9,152.0
Fixed,flow_we.11,22.0,0.0,7.2,194.9,154.0
Fixed,flow_ew.10,17.0,0.0,0.85,194.9,161.0
Fixed,flow_we.12,17.0,0.0,0.94,194.9,161.0
Fixed,flow_we.13,16.0,0.0,0.79,194.9,172.0
Fixed,flow_ew.11,16.0,0.0,0.88,194.9,175.0
Fixed,flow_we.14,16.0,0.0,0.91,194.9,184.0
Fixed,flow_sn.16,62.0,42.0,47.96,194.9,190.0
Fixed,flow_ns.21,65.0,44.0,50.29,194.9,191.0
Fixed,flow_ns.22,60.0,39.0,45.92,194.9,192.0
Fixed,flow_sn.17,57.0,34.0,42.05,194.9,193.0
Fixed,flow_ns.23,56.0,34.0,41.76,194.9,194.0
