step,north_queue,south_queue,east_queue,west_queue,emergency_active,phase
0,0,0,0,0,False,0
1,0,0,0,0,False,0
2,0,0,0,0,False,0
3,0,0,0,0,False,0
4,0,0,0,0,False,0
5,0,0,0,0,False,0
6,0,0,0,0,False,0
7,0,0,0,0,False,0
8,0,0,0,0,False,0
9,0,0,0,0,False,0
10,0,0,0,1,False,0
11,0,0,1,1,False,0
12,0,0,1,2,False,0
13,0,0,1,1,False,0
14,0,0,1,1,False,0
15,0,0,2,1,False,0
16,0,0,1,1,False,0
17,0,0,1,1,False,0
18,0,0,1,1,False,0
19,0,0,1,1,False,0
20,0,0,1,1,False,0
21,0,0,1,1,False,0
22,0,0,1,1,False,0
23,0,0,1,1,False,0
24,0,0,1,3,False,0
25,0,0,1,2,False,0
26,0,0,1,2,False,0
27,0,0,2,2,False,0
28,0,0,2,2,False,0
29,0,0,3,2,False,0
30,0,0,2,2,False,0
31,0,0,2,2,False,0
32,0,0,2,2,False,0
33,0,0,2,2,False,0
34,0,0,2,2,False,0
35,0,0,2,2,False,0
36,0,0,2,4,False,0
37,0,0,2,3,False,0
38,0,0,2,3,False,0
39,0,0,2,3,False,0
40,0,0,2,3,False,0
41,0,0,3,3,False,0
42,0,0,3,3,False,1
43,0,0,3,3,False,1
44,0,0,4,3,False,1
45,0,0,2,2,False,2
46,0,0,1,1,False,2
47,0,0,0,1,False,2
48,1,0,0,0,False,2
49,1,0,0,0,False,2
50,1,0,0,0,False,2
51,1,1,0,0,False,2
52,2,1,0,0,False,2
53,2,1,0,0,False,2
54,2,1,0,0,False,2
55,2,1,0,0,False,2
56,2,1,0,0,False,2
57,3,1,0,0,False,2
58,3,1,0,0,False,2
59,3,1,0,0,False,2
60,3,1,0,0,False,2
61,3,2,0,0,False,2
62,3,2,0,0,False,2
63,3,2,0,0,False,2
64,3,2,0,0,False,2
65,4,2,0,0,False,2
66,4,3,0,0,False,2
67,4,3,0,0,False,2
68,4,3,0,0,False,2
69,5,3,0,0,False,2
70,5,3,0,0,False,2
71,5,3,0,0,False,2
72,5,3,0,0,False,2
73,5,3,0,0,False,2
74,5,3,0,0,False,2
75,6,3,0,0,False,2
76,6,4,0,0,False,2
77,6,4,0,0,False,2
78,6,4,0,0,False,2
79,6,4,0,0,False,2
80,6,4,0,0,False,2
81,6,4,0,0,False,2
82,7,4,0,0,False,2
83,7,5,0,0,False,2
84,7,5,0,0,False,2
85,7,5,0,0,False,2
86,8,5,0,0,False,2
87,8,5,0,0,False,3
88,8,5,0,0,False,3
89,8,5,0,0,False,3
90,7,5,0,0,False,0
91,6,4,0,0,False,0
92,5,3,0,0,False,0
93,5,2,0,0,False,0
94,4,1,0,1,False,0
95,3,0,0,1,False,0
96,2,0,0,2,False,0
97,2,0,1,1,False,0
98,1,0,1,1,False,0
99,0,0,1,1,False,0
100,0,0,1,1,False,0
101,0,0,2,1,False,0
102,0,0,1,1,False,0
103,0,0,1,1,False,0
104,0,0,1,1,False,0
105,0,0,1,1,False,0
106,0,0,1,1,False,0
107,0,0,1,2,False,0
108,0,0,1,3,False,0
109,0,0,1,2,False,0
110,0,0,1,2,False,0
111,0,0,1,2,False,0
112,0,0,1,2,False,0
113,0,0,1,2,False,0
114,0,0,2,2,False,0
115,0,0,2,2,False,0
116,0,0,3,2,False,0
117,0,0,2,2,False,0
118,0,0,2,2,False,0
119,0,0,2,3,False,0
120,0,0,2,4,False,0
121,0,0,2,3,False,0
122,0,0,2,3,False,0
123,0,0,2,3,False,0
124,0,0,2,3,False,0
125,0,0,2,3,False,0
126,0,0,2,3,False,0
127,0,0,2,3,False,0
128,0,0,2,3,False,0
129,0,0,3,3,False,0
130,0,0,4,3,False,0
131,0,0,3,3,False,0
132,0,0,3,5,False,1
133,0,0,3,4,False,1
134,0,0,3,4,False,1
135,0,0,2,3,False,2
136,1,0,1,2,False,2
137,1,0,0,1,False,2
138,1,1,0,0,False,2
139,1,1,0,0,False,2
140,1,1,0,0,False,2
141,1,1,0,0,False,2
142,2,1,0,0,False,2
143,2,1,0,0,False,2
144,2,1,0,0,False,2
145,2,1,0,0,False,2
146,2,1,0,0,False,2
